"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein domain specific binding","GO:0019904","6.385475249491801e-22","21.194806774116955","97","475","28","22791","AT2G34420,AT1G44575,AT5G54770,AT5G66190,AT3G15360,AT3G26650,AT4G32260,AT3G61470,AT2G26500,AT1G61520,AT4G22890,AT2G06520,AT2G05100,AT2G20260,AT5G01750,AT2G46820,AT1G31330,AT3G47470,AT5G64040,AT1G15820,AT4G12800,AT3G54890,AT5G54270,AT1G32060,AT1G51400,AT1G03130,AT1G06680,AT4G10340"
"GO:MF","oxidoreductase activity","GO:0016491","4.1590002065193715e-18","17.381011058069735","1456","2204","251","22791","AT1G70670,AT4G27030,AT4G39950,AT1G61720,AT5G16010,AT4G35090,AT4G11600,AT4G12110,AT3G11980,AT1G11610,AT5G58260,AT2G29720,AT2G29360,AT1G06690,AT3G51240,AT2G35660,AT1G79750,AT5G49740,AT4G19170,AT5G07460,AT1G42970,AT5G05580,AT3G48280,AT5G42800,AT3G52960,AT1G59960,AT4G37925,AT3G19270,AT5G36110,AT1G55020,AT1G71500,AT1G17890,AT4G03520,AT5G66190,AT3G15360,AT2G45560,AT5G08410,AT1G60750,AT1G12900,AT3G26650,AT4G03280,AT5G58330,AT3G45140,AT4G22890,AT1G70760,AT1G57770,AT3G48310,AT4G13010,AT4G21200,AT3G14420,AT3G26060,AT4G13310,AT2G29150,AT1G33730,AT4G09010,AT3G09580,AT3G50820,AT1G20020,AT1G74110,AT1G07440,AT2G12190,AT4G22880,AT1G74470,AT3G26330,AT1G68010,AT3G56940,AT4G22260,AT1G58290,AT4G25650,AT1G53670,AT3G26300,AT5G54190,AT1G78570,AT1G64940,AT1G47290,AT2G26260,AT4G37320,AT2G21280,AT2G41510,AT1G52590,AT5G18660,AT5G07990,AT5G06580,AT1G50450,AT5G67030,AT1G76680,AT1G77490,AT3G08710,AT1G05260,AT4G23430,AT1G74880,AT3G14130,AT4G32810,AT1G31490,AT4G25700,AT1G44446,AT5G22500,AT5G50100,AT1G11680,AT2G25080,AT5G57800,AT1G75280,AT5G57030,AT4G32320,AT3G61220,AT5G06900,AT5G05320,AT4G39330,AT3G12800,AT5G13110,AT5G35790,AT5G05340,AT4G37200,AT2G04700,AT3G63520,AT4G25570,AT1G67730,AT3G14680,AT1G08550,AT2G37790,AT1G23740,AT1G18180,AT1G78440,AT5G58250,AT1G30040,AT5G15802,AT4G21860,AT5G53580,AT5G18210,AT2G22780,AT4G30950,AT2G37770,AT1G15950,AT2G41680,AT4G25420,AT2G21860,AT1G56000,AT5G19200,AT4G37000,AT3G48270,AT2G45510,AT5G16710,AT4G33360,AT4G15440,AT3G56630,AT1G76490,AT3G19000,AT3G22400,AT5G52100,AT2G45580,AT4G15760,AT1G47620,AT2G24270,AT4G34200,AT4G21990,AT4G37340,AT2G46950,AT3G23530,AT1G80820,AT5G03455,AT3G47520,AT1G06570,AT4G28570,AT3G60370,AT2G40300,AT1G15140,AT2G45550,AT3G13730,AT2G26170,AT1G03475,AT3G44880,AT4G01690,AT1G17745,AT2G43710,AT1G23010,AT1G21350,AT4G14210,AT1G13080,AT1G04620,AT1G32780,AT1G77330,AT1G06620,AT3G21360,AT1G31800,AT2G23180,AT5G59400,AT1G64710,AT4G12320,AT2G28190,AT3G27060,AT3G54660,AT4G34350,AT2G45570,AT2G40690,AT1G76760,AT2G37660,AT4G20760,AT5G04900,AT1G31170,AT5G08740,AT2G36690,AT5G60600,AT3G14690,AT3G11180,AT5G57260,AT5G05390,AT3G23410,AT5G51810,AT1G11840,AT1G08570,AT5G51100,AT2G26550,AT4G37980,AT1G60730,AT3G15090,AT1G52340,AT1G07080,AT5G06290,AT3G06730,AT5G11270,AT1G12550,AT4G15110,AT3G03080,AT1G19250,AT1G76690,AT5G25880,AT4G11290,AT5G62790,AT5G37980,AT1G14290,AT4G31240,AT2G24190,AT5G20400,AT2G41480,AT1G06650,AT1G37130,AT5G23310,AT2G22420,AT3G10230,AT4G30720,AT5G63290,AT5G39890,AT2G29990,AT1G75270,AT3G26230,AT4G26160,AT3G48290,AT4G35420,AT4G36250,AT2G24820,AT3G04870"
"GO:MF","chlorophyll binding","GO:0016168","6.570921184671038e-15","14.182373741950823","34","337","14","22791","AT2G34420,AT5G02120,AT1G44575,AT4G34190,AT1G45474,AT1G19150,AT3G61470,AT1G61520,AT2G05100,AT3G08940,AT3G47470,AT1G15820,AT3G54890,AT5G54270"
"GO:MF","catalytic activity","GO:0003824","7.080672309854865e-10","9.149925504090191","9135","2950","1356","22791","AT1G70670,AT1G19670,AT4G27030,AT1G67090,AT3G10910,AT4G29260,AT5G04200,AT4G26530,AT4G39950,AT1G61720,AT2G26560,AT2G20030,AT1G26820,AT5G16010,AT4G35090,AT1G30260,AT3G02100,AT5G49690,AT2G42600,AT2G03200,AT1G61680,AT2G37710,AT5G23960,AT4G11600,AT1G04920,AT5G58770,AT1G08650,AT4G12110,AT5G45910,AT4G37580,AT3G53810,AT3G11980,AT1G11610,AT5G35970,AT5G58260,AT4G30810,AT2G29720,AT2G29360,AT5G14740,AT3G14460,AT3G54420,AT1G70410,AT1G06690,AT1G43670,AT3G14490,AT3G51240,AT2G35660,AT3G55700,AT1G79750,AT1G64680,AT5G49740,AT3G23760,AT4G37050,AT2G36380,AT2G21960,AT4G36530,AT3G25810,AT4G19170,AT5G04370,AT5G66430,AT1G14220,AT3G62750,AT2G37210,AT3G49200,AT1G17840,AT1G79460,AT3G52820,AT2G35780,AT5G06490,AT5G07460,AT5G54770,AT1G42970,AT3G59760,AT3G07990,AT2G23970,AT5G05580,AT3G48280,AT4G35160,AT5G62140,AT5G42800,AT3G52960,AT1G59960,AT4G37925,AT3G19270,AT1G26220,AT4G15530,AT5G36110,AT5G38020,AT3G47570,AT4G30550,AT1G55020,AT1G71500,AT1G72300,AT1G17890,AT4G00895,AT4G03520,AT1G62750,AT5G66190,AT3G15360,AT2G45560,AT3G16520,AT5G08410,AT1G74070,AT5G24850,AT1G14420,AT1G60750,AT1G12900,AT3G26650,AT4G38970,AT4G32260,AT1G22360,AT5G06530,AT1G71250,AT2G23540,AT4G03280,AT4G21390,AT5G53970,AT4G39710,AT5G20480,AT5G58330,AT5G47840,AT1G67280,AT1G11340,AT4G04640,AT3G45140,AT5G44700,AT1G64770,AT4G22890,AT1G70760,AT4G21380,AT5G17780,AT4G40070,AT1G57770,AT3G06483,AT2G41250,AT2G03220,AT4G23270,AT3G48700,AT1G75690,AT1G22740,AT5G17670,AT4G09510,AT2G05160,AT3G48310,AT1G10370,AT4G23180,AT2G23950,AT2G13360,AT1G17050,AT4G13010,AT4G12830,AT5G13630,AT4G24730,AT2G20470,AT1G44000,AT4G21200,AT1G54780,AT3G14420,AT3G26060,AT4G13310,AT3G47090,AT3G52600,AT4G16820,AT2G29150,AT1G32060,AT1G33730,AT3G12500,AT3G17470,AT2G18470,AT2G38870,AT5G10530,AT1G23360,AT4G14480,AT5G01920,AT5G19220,AT4G09650,AT3G12345,AT5G42170,AT1G47480,AT2G42990,AT1G22400,AT1G06520,AT3G46840,AT4G09010,AT3G09580,AT1G27480,AT5G12480,AT3G50820,AT3G54050,AT4G02610,AT1G20020,AT1G74110,AT4G18550,AT2G20340,AT3G47110,AT1G17260,AT1G16260,AT1G70820,AT1G22340,AT1G07440,AT2G12190,AT5G17230,AT1G14100,AT4G09720,AT4G22880,AT1G74470,AT1G78510,AT5G66150,AT5G59700,AT1G56190,AT2G19210,AT3G26330,AT4G21210,AT2G15480,AT1G68010,AT3G56940,AT3G55800,AT1G30520,AT5G57015,AT1G18170,AT2G43560,AT4G22260,AT1G58290,AT3G49340,AT4G25650,AT3G26720,AT1G21270,AT1G53670,AT2G16430,AT5G17050,AT3G26300,AT1G10290,AT5G54190,AT4G29590,AT1G33811,AT5G55050,AT1G78570,AT2G43820,AT4G23230,AT1G64940,AT3G24190,AT5G03610,AT5G45680,AT1G47290,AT2G26260,AT1G68530,AT4G23140,AT5G17330,AT4G37320,AT2G30950,AT3G06510,AT2G21280,AT5G64840,AT2G23840,AT3G01480,AT1G18390,AT3G15520,AT2G41510,AT5G50400,AT2G38280,AT1G21240,AT1G52590,AT1G28600,AT1G52510,AT4G25150,AT2G44480,AT3G51420,AT5G06740,AT1G55120,AT5G18660,AT4G26890,AT1G80380,AT1G55370,AT4G27600,AT4G20360,AT2G07050,AT5G43860,AT2G31500,AT5G44640,AT4G17840,AT5G07990,AT1G68660,AT1G14590,AT5G37690,AT3G27970,AT1G28590,AT2G32030,AT5G38510,AT1G48480,AT5G06580,AT3G21750,AT4G11570,AT1G15380,AT1G50450,AT1G35340,AT5G67030,AT4G15210,AT5G48930,AT1G76680,AT2G19130,AT3G01660,AT1G77490,AT3G15680,AT3G08710,AT3G10060,AT4G00970,AT1G05260,AT5G36790,AT1G68830,AT2G26330,AT4G23430,AT3G16360,AT1G74880,AT3G14130,AT4G32810,AT1G16880,AT1G31490,AT4G15550,AT1G63180,AT3G21820,AT1G61820,AT2G29940,AT5G42760,AT4G25700,AT2G39730,AT3G53920,AT1G44446,AT5G58140,AT5G59190,AT5G22500,AT1G21230,AT1G71810,AT3G15140,AT1G05000,AT5G50100,AT5G51820,AT5G51110,AT5G19450,AT2G40830,AT4G38225,AT2G36760,AT1G11680,AT5G09650,AT4G25080,AT2G43750,AT1G56600,AT2G30170,AT1G21250,AT3G25490,AT1G22380,AT4G33520,AT2G45600,AT5G44520,AT2G32480,AT2G21170,AT2G25080,AT1G59610,AT3G05170,AT4G27800,AT5G23530,AT3G57680,AT1G56500,AT5G47240,AT5G57800,AT4G08850,AT1G75280,AT4G18010,AT1G35510,AT5G35100,AT1G14030,AT3G24420,AT2G04842,AT3G18180,AT5G57030,AT4G32320,AT3G61220,AT2G36800,AT5G06900,AT5G14720,AT4G00960,AT1G25450,AT1G28680,AT1G76140,AT3G04890,AT1G56180,AT3G27110,AT5G13710,AT5G05320,AT5G19160,AT3G18170,AT5G35170,AT4G01370,AT1G66910,AT5G35390,AT5G13650,AT5G10160,AT5G45930,AT3G10970,AT1G19660,AT5G64940,AT2G01900,AT5G42270,AT2G44530,AT4G39330,AT2G43940,AT5G55120,AT5G38520,AT4G25000,AT3G52720,AT5G26742,AT4G18700,AT4G05200,AT5G39830,AT3G12800,AT5G13110,AT5G35790,AT3G57030,AT5G36890,AT5G27290,AT4G01950,AT1G56130,AT5G05340,AT4G37200,AT5G45890,AT2G04700,AT5G13930,AT3G17365,AT2G34080,AT1G08080,AT1G18870,AT3G63520,AT4G12910,AT4G25570,AT3G15620,AT1G10360,AT3G46290,AT1G52600,AT5G22620,AT1G67730,AT1G35420,AT3G11340,AT5G05740,AT2G23620,AT1G75460,AT3G14680,AT1G60550,AT4G18370,AT1G08550,AT2G40490,AT5G08650,AT1G51940,AT2G37790,AT1G64355,AT1G23740,AT5G50920,AT2G36780,AT1G18180,AT1G73480,AT5G59750,AT5G16910,AT1G78440,AT2G37040,AT2G32540,AT1G07010,AT5G56760,AT3G18680,AT2G41640,AT5G58250,AT1G05700,AT1G30040,AT2G38740,AT2G23060,AT5G46580,AT5G61000,AT3G12600,AT1G02850,AT5G57040,AT3G15354,AT5G15802,AT3G63410,AT4G21860,AT5G22800,AT1G09240,AT5G53580,AT4G15560,AT4G31990,AT2G41040,AT5G18210,AT2G32530,AT5G58090,AT1G12330,AT1G15100,AT4G02420,AT3G27925,AT2G22780,AT1G16670,AT4G30950,AT2G37770,AT3G10840,AT1G15950,AT2G41680,AT4G13670,AT5G56530,AT3G16150,AT5G39030,AT4G11530,AT4G21410,AT4G37670,AT1G60600,AT4G31390,AT1G07110,AT1G48300,AT1G55850,AT3G10420,AT1G08520,AT3G47580,AT1G53520,AT3G62000,AT4G25420,AT5G44000,AT3G19170,AT5G37930,AT3G53990,AT5G23140,AT2G21860,AT1G11330,AT2G41290,AT1G56000,AT3G62030,AT3G53450,AT3G15820,AT5G19200,AT4G37000,AT4G33500,AT3G48270,AT2G45510,AT4G32770,AT3G45780,AT5G42200,AT5G61410,AT5G38990,AT1G65060,AT5G16710,AT2G45770,AT5G24300,AT5G48300,AT1G08470,AT4G33360,AT5G24270,AT4G15440,AT1G17220,AT3G04910,AT1G19920,AT5G59100,AT2G43050,AT3G56630,AT3G23920,AT1G20810,AT1G76490,AT1G17180,AT3G19000,AT2G01275,AT5G65550,AT3G22400,AT5G16810,AT1G49740,AT5G52100,AT2G45580,AT4G22100,AT1G05675,AT3G09970,AT2G35830,AT4G23160,AT4G15760,AT1G13270,AT1G47620,AT4G24670,AT1G32070,AT4G15240,AT1G54350,AT3G46660,AT5G55220,AT5G02790,AT5G03940,AT4G29990,AT3G23570,AT3G10940,AT1G59720,AT2G24270,AT5G45650,AT3G58140,AT4G28940,AT5G48380,AT4G16800,AT3G62700,AT1G01200,AT4G34200,AT3G60220,AT3G61080,AT2G35450,AT4G21990,AT4G17090,AT1G61590,AT5G08280,AT1G33290,AT4G02790,AT4G37340,AT1G02730,AT4G33460,AT2G17220,AT3G11945,AT1G78140,AT5G40830,AT2G32620,AT5G04490,AT2G46950,AT5G12890,AT2G38270,AT5G22250,AT3G06010,AT5G40010,AT4G30580,AT3G23530,AT1G80820,AT4G29070,AT4G39970,AT1G35710,AT4G33030,AT5G58870,AT5G45820,AT3G06470,AT4G26555,AT5G03455,AT3G18710,AT2G04160,AT1G73990,AT3G47520,AT1G15080,AT3G02600,AT5G10650,AT4G37510,AT1G06570,AT1G73880,AT4G28570,AT5G66450,AT3G04790,AT3G04080,AT3G60370,AT2G40300,AT1G72330,AT3G61610,AT3G50920,AT1G17870,AT2G23945,AT1G70080,AT4G20230,AT3G01060,AT3G18270,AT2G30390,AT1G15140,AT1G04220,AT4G01070,AT5G39020,AT2G22240,AT1G21210,AT2G45550,AT2G36870,AT4G34980,AT2G32230,AT3G13730,AT5G57330,AT2G26170,AT5G26880,AT5G13120,AT1G11300,AT3G02660,AT4G37560,AT1G72030,AT1G03475,AT1G28570,AT3G48730,AT2G17570,AT1G76550,AT4G10030,AT3G44880,AT4G01690,AT1G17745,AT2G43710,AT4G16260,AT4G32300,AT2G46930,AT4G33110,AT5G54090,AT1G23010,AT4G33470,AT4G33580,AT5G54160,AT1G21350,AT4G14210,AT2G24280,AT1G14270,AT1G69740,AT1G08630,AT1G13080,AT1G04620,AT1G49630,AT1G54130,AT1G32780,AT5G23210,AT2G07680,AT3G24590,AT5G58560,AT1G77330,AT3G17180,AT3G26085,AT1G79600,AT1G06620,AT5G13410,AT3G21360,AT2G47000,AT4G34480,AT3G13750,AT5G38260,AT3G27180,AT3G48420,AT3G53150,AT3G02450,AT1G31800,AT2G02990,AT5G18570,AT2G15820,AT2G23180,AT5G12960,AT2G40270,AT4G36580,AT4G21534,AT5G59400,AT1G64710,AT3G03050,AT4G12320,AT4G19985,AT1G48100,AT5G14260,AT1G65800,AT3G02570,AT2G28190,AT3G21090,AT4G08920,AT3G27060,AT4G35220,AT5G02820,AT1G80480,AT3G23490,AT5G02230,AT3G54660,AT1G61810,AT5G08610,AT1G75880,AT4G34350,AT5G63100,AT2G45570,AT3G07670,AT3G53260,AT1G23310,AT3G05640,AT2G40690,AT1G47210,AT3G48110,AT1G76760,AT5G06300,AT5G10910,AT4G14340,AT4G35150,AT3G57270,AT5G62670,AT5G38290,AT3G22250,AT5G37600,AT5G64380,AT4G25450,AT1G25290,AT2G37660,AT2G20830,AT1G11755,AT1G48520,AT1G01050,AT3G57520,AT4G20760,AT4G04350,AT3G10350,AT5G04900,AT3G61700,AT1G31170,AT5G08740,AT1G62400,AT1G58520,AT5G27390,AT2G36690,AT3G11750,AT1G03160,AT5G60600,AT3G14690,AT3G11110,AT5G59770,AT3G13560,AT3G11180,AT5G57260,AT5G05390,AT1G65520,AT1G56050,AT3G62760,AT3G23410,AT3G47490,AT5G14660,AT4G38690,AT3G14240,AT4G13930,AT2G21370,AT5G51810,AT1G18590,AT3G07700,AT1G11840,AT5G51020,AT1G08570,AT2G27920,AT5G05200,AT4G23200,AT4G36470,AT4G24620,AT5G51100,AT2G26550,AT1G33270,AT4G37040,AT3G14360,AT4G37980,AT1G60730,AT1G69200,AT3G15090,AT1G73010,AT3G57260,AT1G20560,AT3G14350,AT3G17510,AT5G42340,AT5G17060,AT4G16640,AT5G48590,AT1G31190,AT3G55850,AT3G28460,AT4G35500,AT1G52340,AT5G53850,AT1G51500,AT4G00955,AT1G07080,AT5G21930,AT2G24130,AT5G23940,AT2G39710,AT3G13110,AT5G06290,AT4G35640,AT3G06730,AT5G11270,AT1G12550,AT4G15110,AT4G08500,AT1G15690,AT3G20290,AT3G03080,AT5G38060,AT2G01850,AT5G63380,AT2G47180,AT1G79640,AT1G54570,AT1G77520,AT3G51820,AT3G06980,AT1G70070,AT5G53450,AT1G33540,AT1G19250,AT1G76690,AT5G25880,AT1G73110,AT1G06260,AT4G36880,AT5G67150,AT4G33950,AT1G07160,AT4G36390,AT3G59350,AT1G51805,AT1G55920,AT2G29420,AT1G24040,AT4G11640,AT4G11290,AT5G62790,AT1G13820,AT1G34300,AT1G09630,AT2G39810,AT5G57500,AT5G03800,AT3G11480,AT3G13180,AT5G53120,AT5G54130,AT5G15250,AT3G02060,AT1G44790,AT4G22340,AT5G37980,AT3G62830,AT1G14290,AT5G55830,AT2G17450,AT1G64660,AT5G66530,AT4G02260,AT1G01390,AT4G24380,AT2G39140,AT4G31240,AT2G02060,AT1G04290,AT2G29590,AT1G65880,AT3G60910,AT1G16220,AT1G62660,AT4G30110,AT5G26040,AT1G05620,AT1G01860,AT3G23600,AT4G05090,AT2G24190,AT5G20400,AT3G14930,AT1G13580,AT1G54310,AT4G21470,AT2G41480,AT4G01995,AT5G07860,AT5G12950,AT3G03630,AT4G27340,AT1G06650,AT3G16370,AT1G37130,AT5G23310,AT2G22420,AT3G46100,AT2G35840,AT4G27470,AT3G10230,AT4G30720,AT2G45270,AT5G17570,AT1G11720,AT1G07220,AT5G63290,AT5G39890,AT1G04110,AT2G29990,AT1G75270,AT2G04030,AT4G23560,AT3G26230,AT5G48545,AT5G10290,AT3G49680,AT1G74040,AT4G11820,AT4G26160,AT3G48290,AT1G65070,AT3G56040,AT2G42880,AT4G35420,AT4G19830,AT4G36250,AT2G24820,AT1G11750,AT5G63310,AT3G53690,AT2G32070,AT4G10960,AT3G04870,AT1G33260,AT2G35810,AT5G11720,AT1G53730,AT4G28680,AT4G05160,AT3G10150,AT2G30040,AT1G74680,AT3G16175,AT4G17300,AT4G20130,AT1G07250,AT1G12244,AT1G31360,AT3G53140,AT3G02875,AT5G04130,AT3G14050,AT5G64660,AT1G49820,AT4G11470,AT5G08370,AT2G27500,AT1G32200,AT1G55510,AT5G46330,AT1G08980,AT1G74960,AT4G36810,AT1G32940,AT3G53130,AT1G33430,AT2G29400,AT3G02870,AT5G06060,AT2G23820,AT1G09130,AT5G07470,AT4G30490,AT4G34131,AT3G26560,AT2G31290,AT3G09150,AT2G43020,AT5G39080,AT1G78210,AT1G66920,AT5G52520,AT2G43945,AT4G15940,AT4G18250,AT3G21300,AT5G53050,AT1G21430,AT5G16140,AT2G35930,AT5G66550,AT2G23770,AT3G19220,AT4G14880,AT2G20725,AT4G30270,AT1G60230,AT5G60750,AT5G57910,AT5G45390,AT5G16990,AT4G25120,AT1G64230,AT3G11670,AT3G49640,AT5G04140,AT3G52155,AT2G23450,AT2G29630,AT5G24010,AT3G57000,AT5G09300,AT3G24503,AT3G01180,AT5G03760,AT5G20050,AT2G31450,AT1G80940,AT5G23230,AT4G39490,AT4G13250,AT3G52180,AT3G22750,AT1G71750,AT5G40390,AT4G16920,AT4G21770,AT2G23190,AT1G11290,AT2G32950,AT4G28706,AT1G11090,AT1G56430,AT3G57330,AT1G70610,AT1G64970,AT4G21230,AT1G63680,AT2G17700,AT5G51740,AT1G52570,AT5G66460,AT4G33780,AT5G43850,AT3G15730,AT1G53570,AT1G14860,AT4G09320,AT3G51680,AT4G10550,AT1G03055,AT2G02500,AT1G01140,AT3G12120,AT4G21400,AT3G49810,AT3G03310,AT4G29130,AT1G32900,AT1G56560,AT5G04250,AT3G50660,AT1G80660,AT2G24520,AT5G57350,AT2G45440,AT4G33420,AT1G34380,AT3G56930,AT2G15620,AT2G26670,AT3G53620,AT1G49970,AT4G38470,AT4G14100,AT1G51760,AT3G05200,AT1G79870,AT4G38460,AT5G27420,AT2G39670,AT5G53390,AT4G31750,AT3G57810,AT5G45170,AT1G01120,AT5G15070,AT5G60790,AT4G02440,AT4G23850,AT5G18280,AT1G78290,AT5G42260,AT3G14205,AT4G01970,AT5G54810,AT2G45910,AT5G35220,AT5G53170,AT5G38280,AT1G65610,AT3G01820,AT3G51550,AT4G31780,AT5G60390,AT5G01220,AT5G28840,AT1G13700,AT1G78010,AT2G35770,AT4G23900,AT4G26090,AT1G56700,AT5G42150,AT5G58940,AT3G14270,AT4G10010,AT4G09670,AT4G27290,AT4G02340,AT1G14700,AT5G08380,AT5G47970,AT1G47380,AT4G38190,AT4G13550,AT2G06025,AT1G66520,AT3G44620,AT5G13700,AT4G10100,AT2G38660,AT1G73170,AT1G12770,AT4G39090,AT1G01710,AT2G28210,AT5G42390,AT2G38670,AT1G70250,AT4G35790,AT5G46390,AT3G48030,AT4G20960,AT1G50840,AT2G39000,AT5G57610,AT5G19770,AT3G27820,AT1G13560,AT1G72040,AT3G22370,AT1G75210,AT5G19370,AT5G60340,AT3G03480,AT1G78580,AT1G63970,AT5G11950,AT3G55180,AT2G25620,AT1G11440,AT5G44440,AT5G51070,AT5G55480,AT1G06870,AT2G47940,AT1G20823,AT2G38025,AT5G47310,AT2G46960,AT2G27820,AT4G18440,AT4G00620,AT1G79810,AT3G02720,AT5G20660,AT5G65400,AT2G26930,AT2G30970,AT2G36530,AT1G17420,AT1G02360,AT2G05940,AT5G15450,AT5G42440,AT3G02750,AT3G13740,AT1G29340,AT4G23220,AT5G66210,AT3G10670,AT5G46220,AT2G39420,AT1G60690,AT3G03710,AT1G78270,AT3G05350,AT5G16370,AT5G01670,AT5G05690,AT2G37690,AT4G32000,AT5G16450,AT4G02405,AT3G47450,AT2G20050,AT2G35910,AT1G53280,AT5G41040,AT5G46410,AT4G27710,AT3G26310,AT5G60540,AT5G56350,AT5G49760,AT5G20040,AT1G09420,AT1G71710,AT2G19870,AT5G13030,AT3G21780,AT1G02560,AT5G48220,AT4G32250,AT3G49190,AT1G17650,AT2G01320,AT4G01660,AT2G46370,AT4G27070,AT1G74320,AT4G30190,AT5G34940,AT4G23190,AT2G04530,AT3G45310,AT2G25530,AT3G46970,AT2G34630,AT1G06820,AT1G16445,AT3G52430,AT5G42080,AT5G40250,AT3G02830,AT2G23070,AT3G50000,AT1G02660,AT4G38540,AT1G08510,AT1G10310,AT4G04510,AT5G47770,AT3G23610,AT4G35760,AT2G26980,AT5G21326,AT4G16580,AT4G00550,AT2G24390,AT2G45150,AT4G31860,AT5G65240,AT4G32915,AT1G68290,AT3G48320,AT2G33793,AT1G64980,AT5G18860,AT2G25840,AT1G11870,AT1G03590,AT1G31860,AT1G67660,AT1G67070,AT1G44090,AT5G24530,AT5G20950,AT4G28030,AT5G20130,AT1G67940,AT1G78530,AT2G37250,AT5G22000,AT4G27940,AT5G39040,AT1G04635,AT4G02940,AT5G25930,AT4G10500,AT1G74360,AT2G05830,AT4G37870,AT3G03990"
"GO:MF","tetrapyrrole binding","GO:0046906","2.201168725077769e-8","7.657346666414506","418","670","40","22791","AT2G34420,AT4G39950,AT5G02120,AT4G35090,AT1G44575,AT1G11610,AT3G48280,AT3G19270,AT5G36110,AT4G34190,AT2G45560,AT1G45474,AT1G19150,AT3G61470,AT1G61520,AT3G59400,AT2G05100,AT3G48310,AT3G08940,AT3G47470,AT1G15820,AT3G54890,AT4G13310,AT5G54270,AT1G33730,AT3G10130,AT5G20140,AT4G09010,AT1G74110,AT2G12190,AT3G26330,AT4G10340,AT3G26300,AT1G64940,AT4G37320,AT5G07990,AT1G77490,AT1G05260,AT2G21970,AT5G40810"
"GO:MF","rRNA binding","GO:0019843","3.7299354430270935e-7","6.428298684807861","112","1335","26","22791","AT1G75350,AT1G09340,AT5G54600,AT3G52150,AT3G44890,AT1G29070,AT2G43030,AT1G07320,AT1G74970,AT1G35680,AT3G54210,AT1G64510,AT5G13510,AT1G48350,AT5G46580,AT5G17870,AT3G63490,AT1G05190,AT5G14320,AT4G17560,AT1G32990,AT2G33800,AT3G15190,AT1G79850,AT4G01310,AT3G63140"
"GO:MF","poly-pyrimidine tract binding","GO:0008187","0.000008824369977706836","5.054316291602762","19","1335","10","22791","AT5G66190,AT3G50820,AT1G20020,AT1G06680,AT1G68010,AT2G37220,AT1G07320,AT5G50250,AT4G24770,AT3G63140"
"GO:MF","poly(U) RNA binding","GO:0008266","0.000008824369977706836","5.054316291602762","19","1335","10","22791","AT5G66190,AT3G50820,AT1G20020,AT1G06680,AT1G68010,AT2G37220,AT1G07320,AT5G50250,AT4G24770,AT3G63140"
"GO:MF","lyase activity","GO:0016829","0.0000200483247596871","4.697921911224342","455","113","14","22791","AT1G67090,AT4G26530,AT1G26820,AT2G42600,AT1G61680,AT5G23960,AT5G14740,AT3G14460,AT1G70410,AT3G14490,AT1G79750,AT3G25810,AT1G14220,AT1G79460"
"GO:MF","isomerase activity","GO:0016853","0.00002526095305359459","4.597550268265684","269","2454","59","22791","AT1G64680,AT1G17890,AT1G74070,AT4G39710,AT1G64770,AT1G75690,AT3G12345,AT1G70820,AT1G18170,AT2G43560,AT1G78570,AT5G45680,AT3G01480,AT3G15520,AT2G07050,AT3G10060,AT1G63180,AT5G51820,AT5G44520,AT2G21170,AT5G35100,AT5G57030,AT1G18870,AT1G60550,AT4G13670,AT1G53520,AT3G62030,AT4G32770,AT5G61410,AT1G20810,AT5G55220,AT4G26555,AT3G04790,AT3G60370,AT3G61610,AT3G18270,AT2G22240,AT5G57330,AT5G13120,AT3G48730,AT5G13410,AT3G02570,AT5G02820,AT5G27390,AT1G65520,AT4G24620,AT5G53850,AT4G11640,AT5G66530,AT2G39140,AT4G01995,AT3G10230,AT4G19830,AT4G10960,AT5G04130,AT3G19220,AT4G25120,AT4G21770,AT1G03055"
