"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","microtubule binding","GO:0008017","9.208896673169556e-29","28.035792399928873","147","2529","73","22791","AT1G45688,AT4G20260,AT3G49650,AT3G44730,AT2G07170,AT1G03780,AT3G47690,AT2G21300,AT1G54385,AT1G23790,AT5G60150,AT1G72250,AT1G18550,AT5G51600,AT3G19050,AT4G14330,AT3G01015,AT5G27550,AT2G44190,AT3G10310,AT1G19835,AT4G05190,AT3G05330,AT4G26760,AT3G44050,AT5G23910,AT5G67270,AT3G20150,AT2G37420,AT4G13370,AT5G65930,AT1G21730,AT2G36200,AT2G22610,AT2G35880,AT1G18370,AT1G63640,AT5G02370,AT1G24764,AT2G20190,AT1G59540,AT3G17360,AT3G45850,AT5G60930,AT5G62580,AT5G08120,AT2G01910,AT1G14690,AT3G12020,AT3G23090,AT4G39050,AT3G10180,AT1G55550,AT1G61000,AT1G01950,AT1G12430,AT2G38720,AT3G16060,AT2G47500,AT3G54870,AT3G23670,AT5G18700,AT1G50710,AT3G16630,AT4G32330,AT5G23430,AT3G53320,AT1G48280,AT5G47820,AT3G54630,AT4G27060,AT1G77460,AT5G38880"
"GO:MF","tubulin binding","GO:0015631","8.40249355325335e-27","26.07559181206736","161","2569","75","22791","AT1G45688,AT4G20260,AT3G49650,AT3G44730,AT2G07170,AT1G03780,AT3G47690,AT2G21300,AT1G54385,AT1G23790,AT5G60150,AT1G72250,AT1G18550,AT5G51600,AT3G19050,AT4G14330,AT3G01015,AT5G27550,AT2G44190,AT3G10310,AT1G19835,AT4G05190,AT3G05330,AT4G26760,AT3G44050,AT5G23910,AT5G67270,AT3G20150,AT2G37420,AT4G13370,AT5G65930,AT1G21730,AT2G36200,AT2G22610,AT2G35880,AT1G18370,AT1G63640,AT5G02370,AT1G24764,AT2G20190,AT1G59540,AT3G17360,AT3G45850,AT5G60930,AT5G62580,AT5G08120,AT2G01910,AT1G14690,AT3G12020,AT3G23090,AT4G39050,AT3G10180,AT1G55550,AT1G61000,AT1G01950,AT1G12430,AT2G38720,AT3G16060,AT2G47500,AT3G54870,AT3G23670,AT5G18700,AT1G50710,AT3G16630,AT4G32330,AT5G23430,AT3G53320,AT1G48280,AT3G53760,AT5G47820,AT3G54630,AT4G27060,AT1G77460,AT5G38880,AT2G30410"
"GO:MF","cytoskeletal protein binding","GO:0008092","6.8261804119300865e-25","24.165822237758185","305","2581","106","22791","AT1G29170,AT1G45688,AT5G04460,AT4G34490,AT2G41740,AT3G61230,AT3G05470,AT4G20260,AT5G54280,AT5G54650,AT3G49650,AT4G19410,AT3G44730,AT2G07170,AT1G48405,AT1G03780,AT3G47690,AT5G58320,AT2G21300,AT1G54385,AT1G23790,AT5G60150,AT1G72250,AT1G18550,AT5G51600,AT3G19050,AT4G14330,AT3G01015,AT3G25500,AT5G27550,AT2G44190,AT3G10310,AT1G19835,AT4G05190,AT5G43900,AT3G05330,AT5G48460,AT4G26760,AT3G44050,AT5G23910,AT5G67270,AT4G26700,AT3G20150,AT2G37420,AT4G13370,AT5G65930,AT1G21730,AT2G36200,AT2G22610,AT1G08800,AT4G02800,AT5G06560,AT2G35880,AT1G18370,AT1G63640,AT5G02370,AT1G24764,AT2G20190,AT1G59540,AT2G26770,AT3G17360,AT5G16720,AT3G45850,AT5G60930,AT1G10200,AT5G62580,AT5G08120,AT1G50240,AT2G01910,AT1G14690,AT3G12020,AT3G23090,AT4G39050,AT3G10180,AT3G22790,AT1G55550,AT1G61000,AT1G01950,AT1G12430,AT5G59890,AT2G31200,AT2G29890,AT2G38720,AT3G16060,AT2G22560,AT2G47500,AT3G54870,AT3G23670,AT5G18700,AT1G50710,AT1G21980,AT3G16630,AT4G32330,AT5G23430,AT3G53320,AT1G48280,AT3G53760,AT5G47820,AT3G54630,AT4G27060,AT2G33385,AT1G77460,AT5G38880,AT5G03530,AT2G30410,AT2G38440"
"GO:MF","microtubule motor activity","GO:0003777","8.213605659030667e-18","17.085466151764575","63","2261","36","22791","AT3G49650,AT3G44730,AT2G21300,AT1G72250,AT1G18550,AT3G19050,AT4G14330,AT5G27550,AT3G10310,AT4G05190,AT3G44050,AT5G23910,AT3G20150,AT2G37420,AT5G65930,AT1G21730,AT2G36200,AT2G22610,AT1G18370,AT1G63640,AT5G02370,AT1G59540,AT3G17360,AT3G45850,AT5G60930,AT3G12020,AT4G39050,AT3G10180,AT1G55550,AT1G01950,AT1G12430,AT3G16060,AT2G47500,AT3G54870,AT3G23670,AT3G16630"
"GO:MF","cytoskeletal motor activity","GO:0003774","1.0011407680564858e-14","13.999504853098156","82","2261","38","22791","AT5G54280,AT3G49650,AT3G44730,AT2G21300,AT1G72250,AT1G18550,AT3G19050,AT4G14330,AT5G27550,AT3G10310,AT4G05190,AT5G43900,AT3G44050,AT5G23910,AT3G20150,AT2G37420,AT5G65930,AT1G21730,AT2G36200,AT2G22610,AT1G18370,AT1G63640,AT5G02370,AT1G59540,AT3G17360,AT3G45850,AT5G60930,AT3G12020,AT4G39050,AT3G10180,AT1G55550,AT1G01950,AT1G12430,AT3G16060,AT2G47500,AT3G54870,AT3G23670,AT3G16630"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","6.780117674453503e-14","13.168762768533773","1586","491","88","22791","AT3G01140,AT4G39250,AT5G50915,AT2G45190,AT4G37750,AT2G41940,AT1G15360,AT1G46264,AT4G08150,AT5G53210,AT2G44745,AT3G13890,AT2G28550,AT3G06120,AT2G46810,AT1G73360,AT5G46880,AT1G13290,AT5G60910,AT2G34830,AT5G42630,AT4G32980,AT5G10970,AT4G36920,AT1G21340,AT3G61250,AT5G57520,AT1G69180,AT4G09820,AT1G75250,AT5G57620,AT2G17770,AT2G28610,AT4G01460,AT1G08810,AT1G27370,AT4G00730,AT1G26310,AT1G71450,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G46480,AT5G45980,AT1G69780,AT3G52440,AT5G06510,AT3G15510,AT5G49700,AT3G57670,AT5G43290,AT5G23280,AT2G42200,AT1G72360,AT2G37630,AT5G61850,AT2G45050,AT5G65790,AT3G57600,AT5G55390,AT3G28910,AT2G42300,AT2G35640,AT4G04605,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT5G54630,AT3G18550,AT4G21440,AT1G09250,AT2G14210,AT5G25190,AT1G72570,AT1G69120,AT1G68130,AT2G26580,AT1G56170,AT1G76890,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","transcription regulator activity","GO:0140110","2.4958547288782505e-12","11.602780696346429","1685","491","88","22791","AT3G01140,AT4G39250,AT5G50915,AT2G45190,AT4G37750,AT2G41940,AT1G15360,AT1G46264,AT4G08150,AT5G53210,AT2G44745,AT3G13890,AT2G28550,AT3G06120,AT2G46810,AT1G73360,AT5G46880,AT1G13290,AT5G60910,AT2G34830,AT5G42630,AT4G32980,AT5G10970,AT4G36920,AT1G21340,AT3G61250,AT5G57520,AT1G69180,AT4G09820,AT1G75250,AT5G57620,AT2G17770,AT2G28610,AT4G01460,AT1G08810,AT1G27370,AT4G00730,AT1G26310,AT1G71450,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G46480,AT5G45980,AT1G69780,AT3G52440,AT5G06510,AT3G15510,AT5G49700,AT3G57670,AT5G43290,AT5G23280,AT2G42200,AT1G72360,AT2G37630,AT5G61850,AT2G45050,AT5G65790,AT3G57600,AT5G55390,AT3G28910,AT2G42300,AT2G35640,AT4G04605,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT5G54630,AT3G18550,AT4G21440,AT1G09250,AT2G14210,AT5G25190,AT1G72570,AT1G69120,AT1G68130,AT2G26580,AT1G56170,AT1G76890,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","sequence-specific DNA binding","GO:0043565","3.983038366652851e-10","9.399785510225025","1033","491","61","22791","AT2G45190,AT4G37750,AT2G41940,AT1G15360,AT1G46264,AT4G08150,AT2G44745,AT2G28550,AT3G06120,AT1G73360,AT5G60910,AT2G34830,AT5G42630,AT4G32980,AT4G36920,AT2G41370,AT1G69180,AT4G09820,AT5G57620,AT4G01460,AT1G08810,AT1G27370,AT4G00730,AT1G26310,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G69780,AT3G15510,AT5G43290,AT5G23280,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT2G45050,AT5G55390,AT3G28910,AT2G36400,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT1G09250,AT2G14210,AT1G72570,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT2G22740,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","transcription cis-regulatory region binding","GO:0000976","4.577641965082541e-9","8.33935817816861","790","491","50","22791","AT2G45190,AT4G37750,AT2G41940,AT4G08150,AT3G06120,AT1G73360,AT5G60910,AT5G42630,AT4G36920,AT2G41370,AT1G69180,AT4G09820,AT5G57620,AT4G01460,AT1G08810,AT4G00730,AT1G26310,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G69780,AT3G15510,AT5G43290,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT3G28910,AT2G36400,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT1G09250,AT2G14210,AT1G72570,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","transcription regulatory region nucleic acid binding","GO:0001067","4.577641965082541e-9","8.33935817816861","790","491","50","22791","AT2G45190,AT4G37750,AT2G41940,AT4G08150,AT3G06120,AT1G73360,AT5G60910,AT5G42630,AT4G36920,AT2G41370,AT1G69180,AT4G09820,AT5G57620,AT4G01460,AT1G08810,AT4G00730,AT1G26310,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G69780,AT3G15510,AT5G43290,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT3G28910,AT2G36400,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT1G09250,AT2G14210,AT1G72570,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT5G28300,AT3G55370,AT1G10120"
