Misin01G000100	AT1G09020
Misin01G000200	AT3G05020
Misin01G000300	AT1G48050
Misin01G000400	AT1G15370
Misin01G000500	AT5G46580
Misin01G000600	None
Misin01G000700	AT4G25300
Misin01G000800	AT5G42960
Misin01G000900	AT1G57790
Misin01G001000	AT1G30650
Misin01G001000	AT2G34830
Misin01G001100	None
Misin01G001200	AT1G32230
Misin01G001300	AT4G12670
Misin01G001400	AT1G32330
Misin01G001500	AT5G46840
Misin01G001600	AT3G46210
Misin01G001700	AT4G17890
Misin01G001800	None
Misin01G001900	AT1G06590
Misin01G002000	AT4G28450
Misin01G002100	AT2G44510
Misin01G002200	AT4G20090
Misin01G002300	AT2G35790
Misin01G002400	AT5G08550
Misin01G002500	AT3G45900
Misin01G002600	AT1G31880
Misin01G002700	AT1G61010
Misin01G002800	AT1G61010
Misin01G002900	None
Misin01G003000	AT3G56830
Misin01G003100	AT1G73940
Misin01G003200	None
Misin01G003300	AT1G07980
Misin01G003300	None
Misin01G003400	AT4G04860
Misin01G003500	AT5G21140
Misin01G003600	AT1G03510
Misin01G003700	AT5G65660
Misin01G003800	AT2G25530
Misin01G003900	AT5G02560
Misin01G004000	AT3G27090
Misin01G004100	None
Misin01G004200	AT2G35030
Misin01G004300	AT4G35450
Misin01G004400	AT1G17030
Misin01G004500	AT5G50970
Misin01G004600	AT5G47870
Misin01G004700	AT4G00650
Misin01G004800	AT1G09760
Misin01G004900	AT5G09900
Misin01G005000	AT3G54900
Misin01G005100	AT4G02930
Misin01G005200	None
Misin01G005300	AT1G17880
Misin01G005400	AT4G14100
Misin01G005500	AT1G01630
Misin01G005600	AT1G28140
Misin01G005700	AT5G13280
Misin01G005800	AT3G48800
Misin01G005900	AT5G04270
Misin01G006000	AT3G26300
Misin01G006100	AT3G01980
Misin01G006200	AT4G17870
Misin01G006300	AT1G59950
Misin01G006400	AT5G17330
Misin01G006500	AT1G14590
Misin01G006600	AT4G24840
Misin01G006700	AT3G25070
Misin01G006800	AT3G07190
Misin01G006900	AT4G14147
Misin01G007000	AT1G60560
Misin01G007100	None
Misin01G007200	None
Misin01G007300	AT3G07130
Misin01G007400	None
Misin01G007500	AT5G16490
Misin01G007600	None
Misin01G007700	AT5G43490
Misin01G007800	None
Misin01G007900	AT4G13020
Misin01G008000	AT3G59600
Misin01G008100	AT3G07320
Misin01G008200	None
Misin01G008300	AT3G04830
Misin01G008400	AT1G61000
Misin01G008500	AT3G23790
Misin01G008600	None
Misin01G008700	AT2G43120
Misin01G008800	AT3G23700
Misin01G008900	AT1G45332
Misin01G009000	AT2G28800
Misin01G009100	AT1G24490
Misin01G009200	None
Misin01G009300	AT3G48460
Misin01G009400	AT4G15415
Misin01G009500	None
Misin01G009600	AT2G31870
Misin01G009700	AT2G43940
Misin01G009800	AT2G27610
Misin01G009900	AT1G61000
Misin01G010000	AT1G67430
Misin01G010100	AT1G80010
Misin01G010200	AT2G44580
Misin01G010300	AT3G03340
Misin01G010400	AT1G64510
Misin01G010500	AT2G44060
Misin01G010600	AT3G20920
Misin01G010700	None
Misin01G010800	AT2G02410
Misin01G010900	AT1G09630
Misin01G011000	AT4G10020
Misin01G011100	AT2G43465
Misin01G011100	AT3G03320
Misin01G011200	AT3G59630
Misin01G011300	AT3G19770
Misin01G011400	AT3G49645
Misin01G011500	AT1G57770
Misin01G011600	None
Misin01G011700	AT1G71950
Misin01G011800	AT2G38290
Misin01G011900	None
Misin01G012000	AT1G34300
Misin01G012100	AT5G08720
Misin01G012200	AT2G33793
Misin01G012300	None
Misin01G012400	AT4G19570
Misin01G012500	AT1G13570
Misin01G012600	AT1G34370
Misin01G012700	AT4G09620
Misin01G012800	AT1G72175
Misin01G012900	AT3G24200
Misin01G013000	None
Misin01G013100	AT1G77400
Misin01G013200	AT1G77280
Misin01G013300	AT2G13690
Misin01G013400	AT5G58420
Misin01G013500	None
Misin01G013600	AT1G72170
Misin01G013700	AT4G35790
Misin01G013800	AT3G13950
Misin01G013900	None
Misin01G014000	AT4G11840
Misin01G014100	None
Misin01G014200	AT5G40080
Misin01G014300	AT2G35460
Misin01G014400	AT5G22280
Misin01G014500	AT3G14470
Misin01G014600	AT5G64740
Misin01G014700	AT1G56070
Misin01G014800	AT5G07900
Misin01G014900	AT2G23420
Misin01G015000	AT5G05800
Misin01G015100	AT5G45340
Misin01G015200	AT3G26420
Misin01G015300	AT3G13490
Misin01G015400	AT2G35460
Misin01G015500	None
Misin01G015600	AT5G09810
Misin01G015700	AT2G27510
Misin01G015800	AT2G36360
Misin01G015900	AT3G05420
Misin01G016000	AT4G12690
Misin01G016100	None
Misin01G016200	AT3G18240
Misin01G016300	None
Misin01G016400	AT1G50940
Misin01G016500	None
Misin01G016600	AT4G02510
Misin01G016700	AT3G58650
Misin01G016800	AT1G30890
Misin01G016900	AT3G62640
Misin01G017000	AT4G16100
Misin01G017100	AT5G49300
Misin01G017200	AT3G16810
Misin01G017300	AT3G06778
Misin01G017400	AT3G14075
Misin01G017500	None
Misin01G017600	AT2G01610
Misin01G017700	AT3G47380
Misin01G017800	AT4G15940
Misin01G017900	AT1G56340
Misin01G018000	AT3G06610
Misin01G018100	AT1G56340
Misin01G018200	AT3G06610
Misin01G018300	AT3G17090
Misin01G018400	AT1G11290
Misin01G018500	AT3G06580
Misin01G018600	AT4G01950
Misin01G018700	AT5G49580
Misin01G018800	None
Misin01G018900	AT2G47140
Misin01G019000	AT4G01880
Misin01G019100	AT3G60030
Misin01G019200	None
Misin01G019300	AT3G09110
Misin01G019400	AT3G09110
Misin01G019500	AT5G66460
Misin01G019600	AT1G20430
Misin01G019700	AT1G48350
Misin01G019800	AT5G59480
Misin01G019900	None
Misin01G020000	AT5G26680
Misin01G020100	AT5G28050
Misin01G020200	AT3G62110
Misin01G020300	AT1G09460
Misin01G020400	AT3G17630
Misin01G020500	AT1G07530
Misin01G020600	AT5G41210
Misin01G020700	None
Misin01G020800	None
Misin01G020900	AT5G26742
Misin01G021000	AT1G20960
Misin01G021100	AT3G05940
Misin01G021200	AT5G15330
Misin01G021300	AT5G01470
Misin01G021400	AT1G19530
Misin01G021500	AT5G07900
Misin01G021600	None
Misin01G021700	AT1G21150
Misin01G021800	AT5G51110
Misin01G021900	AT1G07230
Misin01G022000	AT5G05730
Misin01G022100	AT3G47120
Misin01G022200	AT2G13650
Misin01G022300	AT3G47070
Misin01G022400	AT5G04110
Misin01G022500	AT5G17160
Misin01G022600	AT4G00330
Misin01G022700	AT3G09090
Misin01G022800	AT5G58960
Misin01G022900	AT3G09210
Misin01G023000	AT2G29530
Misin01G023100	AT5G59010
Misin01G023200	None
Misin01G023300	AT3G11340
Misin01G023400	AT3G46670
Misin01G023500	None
Misin01G023600	None
Misin01G023700	None
Misin01G023800	AT1G20575
Misin01G023900	AT3G13440
Misin01G024000	AT1G74850
Misin01G024100	AT4G09550
Misin01G024200	AT4G25800
Misin01G024300	AT1G60030
Misin01G024400	AT5G62890
Misin01G024500	AT5G55140
Misin01G024600	AT1G07410
Misin01G024700	AT2G37900
Misin01G024800	None
Misin01G024900	AT1G21150
Misin01G025000	AT5G59610
Misin01G025100	AT3G09350
Misin01G025200	AT5G13830
Misin01G025300	AT2G37660
Misin01G025400	AT1G07530
Misin01G025500	None
Misin01G025600	AT2G39700
Misin01G025700	AT2G28930
Misin01G025800	AT2G39630
Misin01G025900	AT5G07900
Misin01G026000	AT1G05180
Misin01G026100	AT3G46080
Misin01G026200	AT5G59820
Misin01G026300	AT5G59880
Misin01G026400	AT5G59890
Misin01G026500	AT1G75560
Misin01G026600	AT3G46450
Misin01G026700	AT5G02500
Misin01G026800	None
Misin01G026900	AT1G06730
Misin01G027000	AT2G37590
Misin01G027100	AT2G37600
Misin01G027200	AT2G28890
Misin01G027300	None
Misin01G027400	AT5G07900
Misin01G027500	AT5G59820
Misin01G027600	AT3G46060
Misin01G027700	AT3G53540
Misin01G027800	AT3G55120
Misin01G027900	AT2G37390
Misin01G028000	AT3G04160
Misin01G028100	AT5G10290
Misin01G028200	None
Misin01G028300	None
Misin01G028400	AT1G16930
Misin01G028500	None
Misin01G028600	AT5G13520
Misin01G028700	None
Misin01G028800	None
Misin01G028900	AT4G02890
Misin01G029000	None
Misin01G029100	None
Misin01G029200	AT4G36920
Misin01G029300	AT5G02960
Misin01G029400	None
Misin01G029500	None
Misin01G029600	AT4G39420
Misin01G029700	AT1G67510
Misin01G029800	AT5G58490
Misin01G029900	AT1G09870
Misin01G030000	AT5G47220
Misin01G030100	AT1G70440
Misin01G030200	AT2G40320
Misin01G030300	None
Misin01G030400	None
Misin01G030500	AT2G40320
Misin01G030600	None
Misin01G030700	AT3G14160
Misin01G030800	AT5G01750
Misin01G030900	AT5G01750
Misin01G031000	AT2G38440
Misin01G031100	AT5G58370
Misin01G031200	None
Misin01G031300	AT2G40590
Misin01G031400	AT5G01850
Misin01G031500	AT5G05230
Misin01G031600	AT2G38560
Misin01G031700	AT4G27950
Misin01G031800	AT2G38610
Misin01G031900	AT3G54210
Misin01G032000	AT2G44160
Misin01G032100	AT5G08790
Misin01G032200	AT5G19730
Misin01G032300	AT1G43580
Misin01G032400	AT2G05170
Misin01G032500	AT3G59440
Misin01G032600	AT1G55530
Misin01G032700	None
Misin01G032800	AT3G10690
Misin01G032900	AT1G10630
Misin01G033000	AT5G20180
Misin01G033100	AT5G12190
Misin01G033200	AT2G38730
Misin01G033300	AT2G21990
Misin01G033400	AT2G47350
Misin01G033500	None
Misin01G033600	AT2G41130
Misin01G033700	AT2G17380
Misin01G033800	None
Misin01G033900	None
Misin01G034000	None
Misin01G034100	AT1G08520
Misin01G034200	AT1G08520
Misin01G034300	AT5G04040
Misin01G034400	AT1G52340
Misin01G034500	AT5G27540
Misin01G034600	None
Misin01G034700	AT1G64980
Misin01G034800	AT5G08020
Misin01G034900	AT3G12600
Misin01G035000	AT5G19040
Misin01G035100	AT2G24190
Misin01G035200	AT1G13120
Misin01G035300	AT4G17430
Misin01G035400	None
Misin01G035500	AT4G24740
Misin01G035600	AT1G48840
Misin01G035700	None
Misin01G035800	None
Misin01G035900	None
Misin01G036000	AT1G75150
Misin01G036100	None
Misin01G036200	AT1G75150
Misin01G036300	AT4G16580
Misin01G036400	AT4G21670
Misin01G036500	None
Misin01G036600	AT5G14285
Misin01G036700	None
Misin01G036800	AT4G36730
Misin01G036900	AT2G21110
Misin01G037000	AT3G57520
Misin01G037100	AT5G15810
Misin01G037200	AT5G19450
Misin01G037300	None
Misin01G037400	AT3G09860
Misin01G037500	AT1G53930
Misin01G037600	AT3G57510
Misin01G037700	AT1G33060
Misin01G037800	AT2G41870
Misin01G037900	None
Misin01G038000	AT3G07040
Misin01G038100	AT5G05170
Misin01G038200	AT3G57510
Misin01G038300	AT3G57510
Misin01G038400	AT5G19855
Misin01G038500	AT2G41840
Misin01G038600	AT3G08030
Misin01G038700	AT5G13710
Misin01G038800	None
Misin01G038900	AT5G13710
Misin01G039000	AT5G26330
Misin01G039100	AT1G03130
Misin01G039200	AT1G55340
Misin01G039300	AT3G62940
Misin01G039400	AT1G55360
Misin01G039500	AT2G19830
Misin01G039600	AT3G52200
Misin01G039700	None
Misin01G039800	None
Misin01G039900	AT5G25450
Misin01G040000	None
Misin01G040100	AT5G28150
Misin01G040200	AT5G57970
Misin01G040300	AT1G80700
Misin01G040400	None
Misin01G040500	AT5G18130
Misin01G040600	AT3G03860
Misin01G040700	AT4G26310
Misin01G040800	AT4G25650
Misin01G040900	AT4G25650
Misin01G041000	AT5G15930
Misin01G041100	AT5G20090
Misin01G041200	AT5G20090
Misin01G041300	AT4G22130
Misin01G041400	None
Misin01G041500	AT1G68460
Misin01G041600	AT1G55320
Misin01G041700	AT3G58490
Misin01G041800	None
Misin01G041900	AT3G58500
Misin01G042000	AT2G42520
Misin01G042100	AT4G34640
Misin01G042200	AT5G49690
Misin01G042300	AT4G12750
Misin01G042400	AT5G49690
Misin01G042500	AT1G18970
Misin01G042600	AT5G49830
Misin01G042700	AT2G44290
Misin01G042800	AT1G76480
Misin01G042900	AT5G62620
Misin01G043000	AT4G13750
Misin01G043100	AT2G20060
Misin01G043200	AT5G62620
Misin01G043300	AT3G28480
Misin01G043400	None
Misin01G043500	None
Misin01G043600	None
Misin01G043700	AT5G42390
Misin01G043800	None
Misin01G043900	None
Misin01G044000	None
Misin01G044100	AT1G65680
Misin01G044200	AT2G01820
Misin01G044300	AT1G04760
Misin01G044400	AT1G59640
Misin01G044500	AT1G18950
Misin01G044600	AT3G18600
Misin01G044700	None
Misin01G044800	AT5G65540
Misin01G044900	None
Misin01G045000	AT5G40010
Misin01G045100	None
Misin01G045200	AT3G28630
Misin01G045300	AT2G21440
Misin01G045400	None
Misin01G045500	AT4G32840
Misin01G045600	AT2G02590
